transaction_id,amount,timestamp,merchant_id,customer_id,transaction_type,device_type,location,previous_fraud,fraud_label
TX000000,1878.96,01/01/2024,M3,C597,withdrawal,web,UK,0,0
TX000001,4754.06,01/01/2024,M3,C644,purchase,web,IN,0,0
TX000002,3662.65,01/01/2024,M4,C447,withdrawal,web,CA,0,0
TX000003,2997.31,01/01/2024,M3,C689,purchase,web,US,0,0
TX000004,788.53,01/01/2024,M5,C854,transfer,mobile,CA,0,0
TX000005,788.41,01/01/2024,M3,C501,transfer,mobile,AU,0,0
TX000006,299.84,01/01/2024,M5,C763,transfer,mobile,US,0,0
TX000007,4332.22,01/01/2024,M3,C526,transfer,mobile,AU,0,0
TX000008,3009.56,01/01/2024,M5,C734,transfer,web,CA,0,0
TX000009,3543.28,01/01/2024,M3,C378,withdrawal,web,IN,0,0
TX000010,112.72,01/01/2024,M3,C200,withdrawal,mobile,IN,0,0
TX000011,4849.85,01/01/2024,M2,C618,withdrawal,POS,IN,0,0
TX000012,4163.89,01/01/2024,M5,C249,transfer,POS,AU,0,0
TX000013,1069.57,01/01/2024,M5,C948,transfer,POS,IN,0,0
TX000014,917.31,01/01/2024,M5,C408,purchase,mobile,UK,1,1
TX000015,925.19,01/01/2024,M1,C600,withdrawal,web,US,0,0
TX000016,1528.17,01/01/2024,M3,C124,transfer,web,US,0,0
TX000017,2628.53,01/01/2024,M5,C112,transfer,POS,CA,0,0
TX000018,2165.41,01/01/2024,M1,C980,transfer,POS,AU,0,0
TX000019,1463.23,01/01/2024,M2,C136,purchase,web,US,0,0
TX000020,3063.15,01/01/2024,M5,C758,transfer,POS,AU,0,0
TX000021,706.07,01/01/2024,M5,C495,purchase,POS,CA,0,0
TX000022,1467.8,01/01/2024,M1,C677,purchase,web,IN,1,0
TX000023,1838.15,01/01/2024,M3,C149,withdrawal,POS,CA,0,0
TX000024,2285.79,01/01/2024,M2,C874,transfer,POS,UK,0,0
TX000025,3928.03,01/01/2024,M5,C342,purchase,mobile,IN,0,0
TX000026,1006.37,01/01/2024,M3,C944,transfer,POS,IN,0,0
TX000027,2576.03,01/01/2024,M2,C579,withdrawal,mobile,IN,0,0
TX000028,2966.15,01/01/2024,M4,C732,withdrawal,web,CA,0,0
TX000029,241.79,01/01/2024,M4,C782,purchase,mobile,UK,0,0
TX000030,3041.65,01/01/2024,M2,C320,withdrawal,web,AU,0,0
TX000031,860.92,01/01/2024,M1,C821,withdrawal,mobile,CA,0,0
TX000032,334.61,01/01/2024,M2,C925,withdrawal,mobile,US,0,0
TX000033,4744.94,01/01/2024,M2,C860,transfer,mobile,US,0,0
TX000034,4828.5,01/01/2024,M1,C531,transfer,POS,CA,0,0
TX000035,4043.9,01/01/2024,M1,C288,purchase,POS,AU,0,0
TX000036,1530.02,01/01/2024,M3,C488,purchase,POS,US,0,0
TX000037,497.38,01/01/2024,M3,C491,withdrawal,POS,AU,0,0
TX000038,3424.32,01/01/2024,M1,C611,withdrawal,POS,IN,0,0
TX000039,2206.36,01/01/2024,M4,C251,purchase,mobile,CA,0,0
TX000040,618.97,01/01/2024,M4,C981,withdrawal,POS,IN,0,0
TX000041,2480.93,01/01/2024,M2,C076,purchase,web,US,0,0
TX000042,181.6,01/01/2024,M5,C646,transfer,mobile,AU,0,0
TX000043,4547.51,01/01/2024,M2,C391,withdrawal,mobile,IN,0,0
TX000044,1301.31,01/01/2024,M2,C411,withdrawal,web,US,0,0
TX000045,3315.99,01/01/2024,M5,C172,withdrawal,POS,UK,0,0
TX000046,1565.44,01/01/2024,M1,C874,transfer,web,IN,0,0
TX000047,2605.14,01/01/2024,M4,C200,transfer,mobile,UK,0,0
TX000048,2738.08,01/01/2024,M2,C216,withdrawal,mobile,UK,0,0
TX000049,932.42,01/01/2024,M5,C375,purchase,mobile,US,1,0
TX000050,4848.23,01/01/2024,M3,C719,transfer,web,CA,0,0
TX000051,3877.91,01/01/2024,M2,C585,withdrawal,POS,AU,0,0
TX000052,4698.1,01/01/2024,M4,C010,withdrawal,mobile,US,0,0
TX000053,4475.19,01/01/2024,M1,C798,transfer,POS,IN,1,1
TX000054,2993.52,01/01/2024,M2,C767,purchase,mobile,AU,0,0
TX000055,4610.15,01/01/2024,M2,C011,withdrawal,POS,CA,0,0
TX000056,451.58,01/01/2024,M5,C891,purchase,web,US,0,0
TX000057,987.95,01/01/2024,M3,C990,purchase,mobile,CA,0,0
TX000058,235.68,01/01/2024,M3,C589,transfer,mobile,IN,0,0
TX000059,1633.4,01/01/2024,M1,C434,withdrawal,mobile,US,0,0
TX000060,1949.5,01/01/2024,M4,C683,withdrawal,web,IN,0,0
TX000061,1364.03,01/01/2024,M1,C607,purchase,web,AU,0,0
TX000062,4145.4,01/01/2024,M2,C817,transfer,POS,AU,0,0
TX000063,1790.2,01/01/2024,M2,C372,transfer,web,CA,0,1
TX000064,1411.86,01/01/2024,M3,C272,transfer,mobile,CA,0,0
TX000065,2718.05,01/01/2024,M4,C930,purchase,POS,AU,0,0
TX000066,713.21,01/01/2024,M5,C896,purchase,web,UK,0,0
TX000067,4012.96,01/01/2024,M4,C924,withdrawal,POS,AU,0,0
TX000068,382.01,01/01/2024,M2,C690,transfer,POS,US,0,0
TX000069,4934.57,01/01/2024,M5,C575,purchase,POS,IN,0,0
TX000070,3863.5,01/01/2024,M4,C508,transfer,mobile,AU,0,0
TX000071,1001.59,01/01/2024,M4,C131,purchase,mobile,AU,1,0
TX000072,37.56,01/01/2024,M5,C854,withdrawal,web,IN,0,0
TX000073,4079.15,01/01/2024,M2,C923,transfer,mobile,IN,0,0
TX000074,3537.22,01/01/2024,M4,C783,purchase,POS,US,0,0
TX000075,3647.75,01/01/2024,M5,C318,transfer,POS,IN,0,0
TX000076,3858.64,01/01/2024,M2,C843,purchase,mobile,CA,1,0
TX000077,379.48,01/01/2024,M5,C948,purchase,POS,AU,0,1
TX000078,1798.74,01/01/2024,M5,C852,purchase,mobile,IN,0,0
TX000079,588.19,01/01/2024,M4,C620,transfer,POS,US,0,0
TX000080,4316.89,01/01/2024,M2,C784,purchase,web,IN,0,1
TX000081,3120.26,01/01/2024,M4,C167,withdrawal,web,AU,0,0
TX000082,1661.18,01/01/2024,M1,C396,transfer,mobile,UK,0,0
TX000083,327.16,01/01/2024,M1,C179,withdrawal,mobile,IN,0,0
TX000084,1561.8,01/01/2024,M2,C057,withdrawal,mobile,CA,1,0
TX000085,1632.66,01/01/2024,M5,C479,transfer,mobile,AU,0,0
TX000086,3650.73,01/01/2024,M4,C932,purchase,mobile,US,0,0
TX000087,3191.41,01/01/2024,M4,C590,withdrawal,POS,AU,0,0
TX000088,4437.19,01/01/2024,M2,C459,transfer,web,UK,0,0
TX000089,2366.35,01/01/2024,M2,C060,purchase,POS,US,0,0
TX000090,606.78,01/01/2024,M1,C368,transfer,web,UK,0,0
TX000091,3569.09,01/01/2024,M3,C120,transfer,POS,UK,0,0
TX000092,3806.32,01/01/2024,M2,C718,transfer,POS,CA,0,0
TX000093,2810.77,01/01/2024,M3,C545,purchase,POS,IN,0,0
TX000094,3857.13,01/01/2024,M2,C581,withdrawal,mobile,CA,0,0
TX000095,2474.04,01/01/2024,M5,C016,withdrawal,web,CA,0,0
TX000096,2618.44,01/01/2024,M5,C495,transfer,mobile,CA,0,0
TX000097,2143.43,01/01/2024,M1,C496,transfer,mobile,US,0,0
TX000098,136.84,01/01/2024,M1,C504,purchase,POS,IN,0,0
TX000099,548.38,01/01/2024,M3,C531,transfer,web,IN,0,0
TX000100,166.83,01/01/2024,M2,C968,transfer,web,US,0,0
TX000101,3185.69,01/01/2024,M4,C314,transfer,web,CA,0,0
TX000102,1578.64,01/01/2024,M1,C068,withdrawal,web,CA,0,0
TX000103,2547.77,01/01/2024,M4,C726,transfer,mobile,UK,0,0
TX000104,4538.76,01/01/2024,M4,C160,withdrawal,mobile,UK,1,0
TX000105,1253.97,01/01/2024,M2,C613,purchase,web,AU,0,0
TX000106,2057.81,01/01/2024,M3,C887,purchase,mobile,UK,0,1
TX000107,3780.2,01/01/2024,M2,C717,withdrawal,web,IN,1,0
TX000108,1151.7,01/01/2024,M1,C144,withdrawal,mobile,US,1,0
TX000109,394.13,01/01/2024,M4,C568,withdrawal,POS,CA,0,0
TX000110,1455.86,01/01/2024,M2,C594,withdrawal,POS,AU,0,0
TX000111,814.49,01/01/2024,M2,C992,transfer,web,UK,1,0
TX000112,4649.19,01/01/2024,M2,C384,withdrawal,web,AU,0,0
TX000113,4042.52,01/01/2024,M1,C268,withdrawal,mobile,US,0,0
TX000114,3170.68,01/01/2024,M3,C922,withdrawal,web,US,0,0
TX000115,4358.59,01/01/2024,M2,C453,transfer,web,AU,0,0
TX000116,4020.32,01/01/2024,M1,C698,transfer,mobile,AU,0,0
TX000117,940.98,01/01/2024,M4,C517,transfer,web,AU,0,0
TX000118,4463.87,01/01/2024,M5,C864,purchase,web,CA,0,0
TX000119,2701.32,01/01/2024,M1,C349,transfer,POS,IN,0,0
TX000120,4039.13,01/01/2024,M5,C109,withdrawal,POS,UK,0,0
TX000121,4481.5,01/01/2024,M2,C482,transfer,POS,UK,0,0
TX000122,1596.84,01/01/2024,M2,C406,transfer,web,UK,0,0
TX000123,559.16,01/01/2024,M1,C649,withdrawal,mobile,AU,0,0
TX000124,1147.4,01/01/2024,M5,C050,transfer,POS,AU,0,0
TX000125,2141.27,01/01/2024,M2,C402,purchase,web,AU,0,0
TX000126,4091.89,01/01/2024,M4,C562,transfer,POS,CA,0,1
TX000127,4305.05,01/01/2024,M3,C475,purchase,mobile,CA,0,0
TX000128,44.69,01/01/2024,M3,C086,purchase,mobile,CA,0,0
TX000129,2558.63,01/01/2024,M2,C067,purchase,mobile,CA,0,0
TX000130,2092.88,01/01/2024,M5,C595,withdrawal,mobile,US,0,0
TX000131,1118.32,01/01/2024,M2,C978,transfer,mobile,CA,0,0
TX000132,608.13,01/01/2024,M5,C041,purchase,mobile,CA,0,0
TX000133,1694.7,01/01/2024,M4,C730,purchase,web,CA,0,0
TX000134,4715.12,01/01/2024,M5,C056,transfer,POS,UK,0,0
TX000135,1622.78,01/01/2024,M2,C737,withdrawal,mobile,UK,0,0
TX000136,2598.77,01/01/2024,M4,C195,withdrawal,POS,UK,0,1
TX000137,3518.06,01/01/2024,M1,C759,purchase,POS,IN,0,0
TX000138,1824.51,01/01/2024,M3,C677,withdrawal,web,US,0,1
TX000139,4859.19,01/01/2024,M2,C061,transfer,mobile,AU,0,0
TX000140,4812.61,01/01/2024,M2,C262,withdrawal,mobile,CA,0,0
TX000141,1266.39,01/01/2024,M2,C111,transfer,web,UK,0,0
TX000142,2491.27,01/01/2024,M4,C764,purchase,web,US,1,0
TX000143,1511.38,01/01/2024,M1,C710,transfer,web,CA,0,0
TX000144,1431.35,01/01/2024,M5,C177,purchase,web,IN,0,0
TX000145,194.07,01/01/2024,M1,C947,transfer,web,AU,0,0
TX000146,3051.73,01/01/2024,M4,C025,transfer,POS,CA,0,0
TX000147,2518.37,01/01/2024,M2,C409,withdrawal,web,AU,0,0
TX000148,266.88,01/01/2024,M3,C757,transfer,mobile,CA,1,0
TX000149,1400.45,01/01/2024,M2,C530,purchase,mobile,IN,0,0
TX000150,4542.25,01/01/2024,M5,C776,transfer,web,US,0,0
TX000151,1205.41,01/01/2024,M3,C316,purchase,web,AU,0,0
TX000152,733.03,01/01/2024,M2,C531,purchase,web,AU,0,0
TX000153,2452.37,01/01/2024,M3,C105,transfer,web,US,0,0
TX000154,4928.4,01/01/2024,M1,C748,withdrawal,web,AU,0,0
TX000155,1217.86,01/01/2024,M4,C817,transfer,mobile,UK,1,0
TX000156,3363.96,01/01/2024,M2,C463,transfer,POS,US,0,0
TX000157,3810.48,01/01/2024,M5,C245,withdrawal,web,IN,0,0
TX000158,1195.81,01/01/2024,M1,C080,purchase,web,CA,0,0
TX000159,3643.8,01/01/2024,M2,C661,transfer,web,CA,0,0
TX000160,1845.24,01/01/2024,M1,C908,withdrawal,mobile,US,0,0
TX000161,3165.21,01/01/2024,M5,C395,withdrawal,mobile,UK,0,0
TX000162,3171.31,01/01/2024,M2,C521,purchase,POS,IN,0,0
TX000163,2683.52,01/01/2024,M5,C832,withdrawal,POS,CA,1,1
TX000164,460.55,01/01/2024,M3,C735,purchase,POS,CA,0,0
TX000165,4178.16,01/01/2024,M5,C925,transfer,POS,UK,0,0
TX000166,1610.69,01/01/2024,M3,C263,withdrawal,mobile,AU,0,0
TX000167,940.73,01/01/2024,M2,C660,transfer,POS,US,0,0
TX000168,213.47,01/01/2024,M3,C789,withdrawal,web,UK,1,0
TX000169,2958.56,01/01/2024,M2,C273,withdrawal,mobile,UK,1,0
TX000170,3391.05,01/01/2024,M2,C705,transfer,mobile,UK,0,0
TX000171,92.77,01/01/2024,M4,C943,withdrawal,mobile,UK,0,0
TX000172,2565.34,01/01/2024,M2,C171,transfer,web,AU,1,0
TX000173,1140.21,01/01/2024,M3,C264,transfer,mobile,IN,0,0
TX000174,3229.41,01/01/2024,M4,C962,purchase,web,UK,0,0
TX000175,880.09,01/01/2024,M4,C821,transfer,POS,UK,0,0
TX000176,3457.78,01/01/2024,M2,C025,purchase,mobile,US,0,0
TX000177,1939.81,01/01/2024,M5,C468,transfer,web,CA,0,0
TX000178,4684.28,01/01/2024,M5,C861,withdrawal,mobile,AU,0,0
TX000179,696.23,01/01/2024,M4,C475,transfer,POS,UK,0,0
TX000180,1711.92,01/01/2024,M2,C355,withdrawal,mobile,IN,0,0
TX000181,576.23,01/01/2024,M5,C025,purchase,POS,IN,0,0
TX000182,4624.22,01/01/2024,M2,C033,withdrawal,mobile,IN,0,0
TX000183,4387.92,01/01/2024,M2,C263,transfer,web,US,0,0
TX000184,1297.13,01/01/2024,M4,C137,withdrawal,POS,IN,0,0
