name,datetime,temp,dew,humidity,windspeed,cloudcover,solarradiation,solarenergy,sunrise,sunset,moonphase,conditions,description,icon
"Kano, Nigeria",2023-01-01,17.7,2.2,37.8,51.9,15.1,247.1,21.4,2023-01-01 6:46:25,2023-01-01 18:12:35,0.31,Clear,Clear conditions throughout the day.,wind
"Kano, Nigeria",2023-01-02,17.2,2,38.3,17.2,24.8,244,21.2,2023-01-02 6:46:48,2023-01-02 18:13:08,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-03,17.6,3.1,40.8,28.9,13.3,245.1,21.2,2023-01-03 6:47:10,2023-01-03 18:13:42,0.38,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-01-04,18.3,3.4,39.7,18.3,40.5,244.6,21.2,2023-01-04 6:47:32,2023-01-04 18:14:15,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-05,18.7,3.5,40.1,21.9,15.9,243,21,2023-01-05 6:47:53,2023-01-05 18:14:49,0.45,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-01-06,18.4,4.1,41.5,12.8,18.3,243.9,21.2,2023-01-06 6:48:13,2023-01-06 18:15:22,0.48,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-01-07,18.9,4.6,42.9,16.1,26.6,251.3,21.8,2023-01-07 6:48:32,2023-01-07 18:15:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-08,19,2.7,39.1,15,41.1,253.5,21.9,2023-01-08 6:48:50,2023-01-08 18:16:29,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-09,18.8,1.2,36.4,18.3,46.6,246.2,21.2,2023-01-09 6:49:07,2023-01-09 18:17:02,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-10,18.4,2,35.9,17.2,23.3,248.6,21.3,2023-01-10 6:49:23,2023-01-10 18:17:35,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-11,17.9,2.3,38.9,18.3,20.4,249.3,21.4,2023-01-11 6:49:39,2023-01-11 18:18:08,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-12,18.3,0.9,34.8,19.7,25.8,249,21.3,2023-01-12 6:49:53,2023-01-12 18:18:41,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
"Kano, Nigeria",2023-01-13,17.7,0.5,36.7,13.9,16.3,253.8,21.9,2023-01-13 6:50:07,2023-01-13 18:19:13,0.72,Rain,Clear conditions throughout the day with early morning rain.,rain
"Kano, Nigeria",2023-01-14,18.8,-0.6,29.9,18.3,18.5,254.9,21.9,2023-01-14 6:50:19,2023-01-14 18:19:46,0.75,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-01-15,18.3,2.2,37.7,15,17.6,252.2,21.8,2023-01-15 6:50:30,2023-01-15 18:20:18,0.75,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-01-16,18,2.8,40.2,57.5,17.9,247,21.4,2023-01-16 6:50:41,2023-01-16 18:20:49,0.82,Rain,Clear conditions throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-01-17,19,2.8,38.2,18.8,16.7,253.8,21.8,2023-01-17 6:50:50,2023-01-17 18:21:21,0.85,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-01-18,19.3,2.9,38.8,16.1,25,253.6,21.8,2023-01-18 6:50:58,2023-01-18 18:21:52,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-19,19.9,3.6,39.9,11.2,16.3,254.3,21.9,2023-01-19 6:51:05,2023-01-19 18:22:22,0.92,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-01-20,20.4,3.7,39.4,13.9,24.2,255.1,21.9,2023-01-20 6:51:12,2023-01-20 18:22:53,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
